Ticket_ID,Priority_Level,inferred_severity,mismatch,mismatch_type,severity_delta,Resolution_Time_Hours,Satisfaction_Score,Issue_Category
TKT-100000,High,Low,1,False Alarm,-2,43,5,General Inquiry
TKT-100001,High,Low,1,False Alarm,-2,41,5,Technical
TKT-100002,High,Low,1,False Alarm,-2,7,5,Account
TKT-100003,Low,Medium,1,Hidden Crisis,1,41,5,Technical
TKT-100004,Medium,Low,1,False Alarm,-1,40,5,Billing
TKT-100005,Medium,Low,1,False Alarm,-1,23,4,General Inquiry
TKT-100006,Medium,Low,1,False Alarm,-1,106,3,Account
TKT-100007,Medium,Medium,0,Consistent,0,27,1,Billing
TKT-100008,High,Medium,1,False Alarm,-1,65,4,Technical
TKT-100009,Low,Low,0,Consistent,0,110,3,General Inquiry
TKT-100010,Low,Low,0,Consistent,0,92,4,General Inquiry
TKT-100011,Low,Medium,1,Hidden Crisis,1,64,5,Account
TKT-100012,Critical,Low,1,False Alarm,-3,10,5,Technical
TKT-100013,Medium,Low,1,False Alarm,-1,20,4,General Inquiry
TKT-100014,Low,Medium,1,Hidden Crisis,1,5,3,Billing
TKT-100015,Low,Low,0,Consistent,0,49,4,General Inquiry
TKT-100016,Low,Low,0,Consistent,0,9,5,General Inquiry
TKT-100017,Low,Low,0,Consistent,0,5,5,Account
TKT-100018,Low,Low,0,Consistent,0,24,1,Billing
TKT-100019,Medium,Low,1,False Alarm,-1,15,5,Billing
TKT-100020,Medium,Low,1,False Alarm,-1,14,5,Account
TKT-100021,Medium,Low,1,False Alarm,-1,2,1,Account
TKT-100022,Low,Low,0,Consistent,0,120,4,General Inquiry
TKT-100023,Low,Low,0,Consistent,0,23,4,Account
TKT-100024,Low,Low,0,Consistent,0,55,2,General Inquiry
TKT-100025,Medium,Low,1,False Alarm,-1,120,5,General Inquiry
TKT-100026,Medium,Low,1,False Alarm,-1,56,5,Billing
TKT-100027,Low,Medium,1,Hidden Crisis,1,37,5,Technical
TKT-100028,Medium,Low,1,False Alarm,-1,12,5,Technical
TKT-100029,Low,Low,0,Consistent,0,120,3,Account
TKT-100030,Medium,Low,1,False Alarm,-1,7,3,General Inquiry
TKT-100031,Low,Low,0,Consistent,0,36,4,General Inquiry
TKT-100032,Medium,Medium,0,Consistent,0,44,2,Technical
TKT-100033,Low,Low,0,Consistent,0,13,4,General Inquiry
TKT-100034,Low,Medium,1,Hidden Crisis,1,120,4,Technical
TKT-100035,Medium,Low,1,False Alarm,-1,19,5,Account
TKT-100036,High,Low,1,False Alarm,-2,12,2,Fraud
TKT-100037,Low,Low,0,Consistent,0,22,4,Billing
TKT-100038,Low,Medium,1,Hidden Crisis,1,80,2,General Inquiry
TKT-100039,Critical,Medium,1,False Alarm,-2,13,1,Fraud
TKT-100040,High,Low,1,False Alarm,-2,14,1,Billing
TKT-100041,Medium,Low,1,False Alarm,-1,33,2,General Inquiry
TKT-100042,Medium,Low,1,False Alarm,-1,21,4,Billing
TKT-100043,Medium,Medium,0,Consistent,0,105,1,Technical
TKT-100044,Low,Low,0,Consistent,0,34,4,Billing
TKT-100045,Critical,Low,1,False Alarm,-3,4,1,Fraud
TKT-100046,Medium,Low,1,False Alarm,-1,114,4,General Inquiry
TKT-100047,Medium,Low,1,False Alarm,-1,3,5,Technical
TKT-100048,Medium,Medium,0,Consistent,0,39,5,Billing
TKT-100049,Medium,Low,1,False Alarm,-1,19,3,General Inquiry
TKT-100050,High,Low,1,False Alarm,-2,28,5,General Inquiry
TKT-100051,Low,Low,0,Consistent,0,19,3,Billing
TKT-100052,Low,Low,0,Consistent,0,120,5,General Inquiry
TKT-100053,High,Low,1,False Alarm,-2,3,4,Technical
TKT-100054,Medium,Low,1,False Alarm,-1,9,5,General Inquiry
TKT-100055,Low,Low,0,Consistent,0,10,4,Account
TKT-100056,Critical,Low,1,False Alarm,-3,23,5,Technical
TKT-100057,High,Low,1,False Alarm,-2,22,4,Fraud
TKT-100058,Medium,Low,1,False Alarm,-1,13,5,Account
TKT-100059,Medium,Low,1,False Alarm,-1,25,3,Billing
TKT-100060,Medium,Medium,0,Consistent,0,110,5,Technical
TKT-100061,Critical,Low,1,False Alarm,-3,18,5,Technical
TKT-100062,High,Low,1,False Alarm,-2,2,3,Technical
TKT-100063,Low,Low,0,Consistent,0,61,3,Billing
TKT-100064,Low,Low,0,Consistent,0,12,5,General Inquiry
TKT-100065,High,Low,1,False Alarm,-2,4,5,Fraud
TKT-100066,Medium,Medium,0,Consistent,0,120,2,Billing
TKT-100067,Low,Medium,1,Hidden Crisis,1,12,2,Billing
TKT-100068,Low,Low,0,Consistent,0,26,1,Billing
TKT-100069,Low,Low,0,Consistent,0,23,1,Billing
TKT-100070,Medium,Medium,0,Consistent,0,61,5,Technical
TKT-100071,Medium,Medium,0,Consistent,0,120,2,Technical
TKT-100072,Low,Medium,1,Hidden Crisis,1,120,2,General Inquiry
TKT-100073,High,Medium,1,False Alarm,-1,24,2,Billing
TKT-100074,Critical,Low,1,False Alarm,-3,19,5,Technical
TKT-100075,High,Low,1,False Alarm,-2,74,5,Technical
TKT-100076,High,Low,1,False Alarm,-2,16,5,Technical
TKT-100077,High,Low,1,False Alarm,-2,7,4,Technical
TKT-100078,High,Medium,1,False Alarm,-1,52,5,Billing
TKT-100079,Low,Low,0,Consistent,0,7,3,Billing
TKT-100080,Medium,Low,1,False Alarm,-1,6,3,Account
TKT-100081,Critical,Medium,1,False Alarm,-2,12,1,Fraud
TKT-100082,Low,Medium,1,Hidden Crisis,1,103,2,Technical
TKT-100083,High,Low,1,False Alarm,-2,1,5,Technical
TKT-100084,Medium,Low,1,False Alarm,-1,52,3,General Inquiry
TKT-100085,Low,Medium,1,Hidden Crisis,1,64,2,Billing
TKT-100086,Low,Low,0,Consistent,0,66,3,General Inquiry
TKT-100087,Medium,Low,1,False Alarm,-1,40,1,General Inquiry
TKT-100088,Medium,Low,1,False Alarm,-1,4,5,General Inquiry
TKT-100089,Medium,Medium,0,Consistent,0,69,4,Technical
TKT-100090,Low,Low,0,Consistent,0,79,5,Billing
TKT-100091,Medium,Medium,0,Consistent,0,38,4,Billing
TKT-100092,Medium,Low,1,False Alarm,-1,28,4,Billing
TKT-100093,Low,Low,0,Consistent,0,36,5,Technical
TKT-100094,Low,Low,0,Consistent,0,34,5,Technical
TKT-100095,Low,Low,0,Consistent,0,1,5,Account
TKT-100096,Critical,Low,1,False Alarm,-3,4,1,Fraud
TKT-100097,Medium,Low,1,False Alarm,-1,29,5,General Inquiry
TKT-100098,Low,Low,0,Consistent,0,48,4,General Inquiry
TKT-100099,Low,Low,0,Consistent,0,66,4,General Inquiry
TKT-100100,High,Low,1,False Alarm,-2,3,4,Technical
TKT-100101,High,Low,1,False Alarm,-2,15,5,Technical
TKT-100102,Low,Medium,1,Hidden Crisis,1,8,1,Billing
TKT-100103,High,Low,1,False Alarm,-2,29,5,Account
TKT-100104,Medium,Low,1,False Alarm,-1,23,4,Technical
TKT-100105,Low,Low,0,Consistent,0,17,4,Billing
TKT-100106,Critical,Low,1,False Alarm,-3,10,5,Fraud
TKT-100107,Medium,Low,1,False Alarm,-1,31,5,Account
TKT-100108,Medium,Low,1,False Alarm,-1,25,5,Technical
TKT-100109,Medium,Low,1,False Alarm,-1,21,4,General Inquiry
TKT-100110,High,Low,1,False Alarm,-2,42,4,Technical
TKT-100111,Low,Low,0,Consistent,0,88,4,Technical
TKT-100112,Medium,Low,1,False Alarm,-1,1,5,Account
TKT-100113,Medium,Low,1,False Alarm,-1,26,5,Account
TKT-100114,Medium,Low,1,False Alarm,-1,5,4,Technical
TKT-100115,Medium,Medium,0,Consistent,0,120,1,General Inquiry
TKT-100116,High,Low,1,False Alarm,-2,33,1,Technical
TKT-100117,Medium,Low,1,False Alarm,-1,55,4,Account
TKT-100118,Medium,Low,1,False Alarm,-1,10,5,Technical
TKT-100119,Low,Low,0,Consistent,0,36,1,Account
TKT-100120,Medium,Low,1,False Alarm,-1,14,4,Account
TKT-100121,Medium,Low,1,False Alarm,-1,69,4,General Inquiry
TKT-100122,High,Low,1,False Alarm,-2,11,4,Billing
TKT-100123,Low,Low,0,Consistent,0,1,4,Billing
TKT-100124,High,Medium,1,False Alarm,-1,44,3,Technical
TKT-100125,Medium,Low,1,False Alarm,-1,2,3,Billing
TKT-100126,High,Medium,1,False Alarm,-1,65,1,Billing
TKT-100127,Medium,Low,1,False Alarm,-1,51,5,Technical
TKT-100128,Medium,Low,1,False Alarm,-1,75,4,Account
TKT-100129,Medium,Medium,0,Consistent,0,64,3,Technical
TKT-100130,Low,Low,0,Consistent,0,36,2,Account
TKT-100131,Medium,Low,1,False Alarm,-1,42,5,Account
TKT-100132,High,Medium,1,False Alarm,-1,14,1,Technical
TKT-100133,Critical,Low,1,False Alarm,-3,11,5,Technical
TKT-100134,Medium,Low,1,False Alarm,-1,72,3,Billing
TKT-100135,High,Low,1,False Alarm,-2,12,3,Fraud
TKT-100136,Critical,Low,1,False Alarm,-3,9,5,Fraud
TKT-100137,Medium,Medium,0,Consistent,0,75,3,Billing
TKT-100138,Low,Low,0,Consistent,0,41,2,General Inquiry
TKT-100139,High,Low,1,False Alarm,-2,38,4,Account
TKT-100140,Low,Low,0,Consistent,0,53,5,General Inquiry
TKT-100141,Medium,Medium,0,Consistent,0,89,4,Technical
TKT-100142,Medium,Low,1,False Alarm,-1,18,1,Account
TKT-100143,Low,Low,0,Consistent,0,62,5,General Inquiry
TKT-100144,Medium,Low,1,False Alarm,-1,16,3,Billing
TKT-100145,Medium,Low,1,False Alarm,-1,6,5,General Inquiry
TKT-100146,Low,Medium,1,Hidden Crisis,1,55,5,Account
TKT-100147,High,Medium,1,False Alarm,-1,71,5,Technical
TKT-100148,Medium,Low,1,False Alarm,-1,19,4,Technical
TKT-100149,Medium,Low,1,False Alarm,-1,15,4,General Inquiry
TKT-100150,Low,Low,0,Consistent,0,1,5,General Inquiry
TKT-100151,Critical,Low,1,False Alarm,-3,21,2,Fraud
TKT-100152,High,Low,1,False Alarm,-2,4,5,Technical
TKT-100153,Medium,Low,1,False Alarm,-1,120,5,Billing
TKT-100154,Medium,Low,1,False Alarm,-1,16,1,Billing
TKT-100155,Medium,Low,1,False Alarm,-1,29,3,General Inquiry
TKT-100156,Medium,Low,1,False Alarm,-1,27,1,Billing
TKT-100157,Medium,Low,1,False Alarm,-1,18,2,General Inquiry
TKT-100158,Low,Low,0,Consistent,0,41,1,Billing
TKT-100159,Low,Medium,1,Hidden Crisis,1,14,4,Billing
TKT-100160,Low,Low,0,Consistent,0,28,5,Account
TKT-100161,Low,Low,0,Consistent,0,12,5,Account
TKT-100162,High,Low,1,False Alarm,-2,8,5,Technical
TKT-100163,High,Low,1,False Alarm,-2,50,4,Technical
TKT-100164,Low,Low,0,Consistent,0,39,4,Account
TKT-100165,Low,Low,0,Consistent,0,29,3,Billing
TKT-100166,Medium,Low,1,False Alarm,-1,53,4,Technical
